1|0.00055|0.0005|0.0|0.002|0.0|0.001
2|0.0022000000000000006|0.002|0.002|0.003|0.002|0.002
3|0.0024000000000000007|0.002|0.002|0.003|0.002|0.003
4|0.0022500000000000007|0.002|0.002|0.003|0.002|0.0022500000000000003
5|0.005900000000000001|0.006|0.005|0.008|0.00575|0.006
6|0.006950000000000002|0.007|0.006|0.008|0.007|0.007
7|0.0086|0.008|0.007|0.018|0.008|0.008
8|0.008850000000000002|0.009|0.008|0.01|0.008|0.00925
9|0.010150000000000001|0.01|0.009|0.012|0.01|0.011
10|0.011550000000000001|0.011|0.01|0.015|0.011|0.012
25|0.027600000000000006|0.0275|0.025|0.033|0.026|0.029
50|0.06295|0.062|0.055|0.078|0.05875|0.06625
100|0.11679999999999999|0.1145|0.104|0.15|0.107|0.123
500|0.6232999999999999|0.565|0.469|1.901|0.502|0.581
1000|1.0802|1.0699999999999998|0.993|1.268|1.013|1.13775
1500|1.6424999999999996|1.626|1.385|2.314|1.5295|1.71925
2000|2.1164|2.0730000000000004|1.843|3.033|1.94475|2.22375
2500|2.71325|2.6345|2.337|4.105|2.48925|2.7735000000000003
3000|3.2717|3.2005|2.751|4.534|3.0785|3.343
3500|3.905|3.7415|3.258|5.091|3.535|4.1255
4000|4.281000000000001|4.3135|3.753|5.093|4.0145|4.5184999999999995
4500|4.88725|4.8245000000000005|4.211|5.988|4.485250000000001|5.1745
5000|5.374649999999999|5.1585|4.611|7.136|4.9487499999999995|5.52325
5500|5.98155|5.8845|5.061|7.484|5.47275|6.3925
6000|6.5486|6.493|5.913|7.54|6.265000000000001|6.83375
6500|6.9762|6.9830000000000005|6.065|7.878|6.56625|7.309749999999999
7000|7.3953999999999995|7.258|6.488|9.976|6.7125|7.70925
7500|8.364300000000002|8.4095|6.976|9.513|7.874499999999999|9.059000000000001
8000|8.7046|8.660499999999999|7.566|10.268|8.13025|9.1095
8500|9.3905|9.096499999999999|7.898|11.948|8.648499999999999|9.799499999999998
9000|9.73535|9.8595|8.381|11.34|8.94125|10.18325
9500|10.36505|10.5155|8.869|12.529|9.4985|11.190999999999999
10000|10.642299999999999|10.609|9.329|13.191|9.59675|11.29625
